"","Product","Sub.issue","Company"
"151607","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"151611","Student loan","Problems when you are unable to pay","JPMorgan Chase & Co."
"151709","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"151726","Student loan","Having problems with customer service","Performant Financial Corporation"
"151756","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"151779","Student loan","Repaying your loan","Navient Solutions, Inc."
"151780","Student loan","Repaying your loan","Navient Solutions, Inc."
"151845","Student loan","Repaying your loan","Higher Education Student Assistance Authority (HESAA)"
"151889","Student loan","Repaying your loan","Navient Solutions, Inc."
"151898","Student loan","Repaying your loan","Navient Solutions, Inc."
"151941","Student loan","Can't get flexible payment options","MOHELA"
"151943","Student loan","Repaying your loan","Higher Education Student Assistance Authority (HESAA)"
"152032","Student loan","Repaying your loan","Navient Solutions, Inc."
"152079","Student loan","Repaying your loan","Navient Solutions, Inc."
"152189","Student loan","Received bad information about my loan","Kentucky Higher Education Assistance Authority"
"152218","Student loan","Don't agree with fees charged","Williams & Fudge, Inc"
"152235","Student loan","Trouble with how payments are handled","Discover"
"152261","Student loan","Repaying your loan","Navient Solutions, Inc."
"152279","Student loan","Don't agree with fees charged","Citizens Financial Group, Inc."
"152284","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"152287","Student loan","Repaying your loan","Student Loan Finance Corporation"
"152321","Student loan","Trouble with how payments are handled","AES/PHEAA"
"152324","Student loan","Repaying your loan","Navient Solutions, Inc."
"152325","Student loan","Trouble with how payments are handled","Citibank"
"152326","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"152342","Student loan","Can't get flexible payment options","AES/PHEAA"
"152392","Student loan","Trouble with how payments are handled","Discover"
"152464","Student loan","Having problems with customer service","AES/PHEAA"
"152625","Student loan","Problems when you are unable to pay","Navient Solutions, Inc."
"152627","Student loan","Trouble with how payments are handled","Sallie Mae"
"152637","Student loan","Repaying your loan","JPMorgan Chase & Co."
"152645","Student loan","Problems when you are unable to pay","Avante"
"152681","Student loan","Repaying your loan","JPMorgan Chase & Co."
"152762","Student loan","Problems when you are unable to pay","AES/PHEAA"
"152772","Student loan","Repaying your loan","Sallie Mae"
"152795","Student loan","Repaying your loan","Navient Solutions, Inc."
"152798","Student loan","Trouble with how payments are handled","Boeing Employees' Credit Union"
"152825","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"152872","Student loan","Can't decrease my monthly payments","Discover"
"152912","Student loan","Repaying your loan","Navient Solutions, Inc."
"152919","Student loan","Repaying your loan","AES/PHEAA"
"152922","Student loan","Repaying your loan","Navient Solutions, Inc."
"152995","Student loan","Repaying your loan","Navient Solutions, Inc."
"153030","Student loan","Having problems with customer service","Navient Solutions, Inc."
"153034","Student loan","Can't get flexible payment options","AES/PHEAA"
"153144","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"153174","Student loan","Don't agree with fees charged","MOHELA"
"153234","Student loan","Trouble with how payments are handled","AES/PHEAA"
"153251","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"153298","Student loan","Repaying your loan","Citibank"
"153329","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"153341","Student loan","Trouble with how payments are handled","Nelnet"
"153343","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"153349","Student loan","Can't get flexible payment options","Sallie Mae"
"153351","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"153470","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"153514","Student loan","Repaying your loan","Nelnet"
"153554","Student loan","Trouble with how payments are handled","KeyBank NA"
"153576","Student loan","Having problems with customer service","Access Group"
"153581","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"153607","Student loan","Trouble with how payments are handled","Student Loan Finance Corporation"
"153610","Student loan","Trouble with how payments are handled","JPMorgan Chase & Co."
"153618","Student loan","Can't get flexible payment options","ConServe"
"153646","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"153679","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"153786","Student loan","Repaying your loan","JPMorgan Chase & Co."
"153844","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"153881","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"153893","Student loan","Can't decrease my monthly payments","Sallie Mae"
"153898","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"153948","Student loan","Can't temporarily postpone payments","Wells Fargo & Company"
"153956","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"153967","Student loan","Can't temporarily postpone payments","Wells Fargo & Company"
"154090","Student loan","Having problems with customer service","Discover"
"154147","Student loan","Received bad information about my loan","SIMM Associates, Inc."
"154149","Student loan","Trouble with how payments are handled","Sallie Mae"
"154170","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"154272","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"154305","Student loan","Don't agree with fees charged","National Enterprise Systems, Inc."
"154314","Student loan","Don't agree with fees charged","AES/PHEAA"
"154379","Student loan","Having problems with customer service","Navient Solutions, Inc."
"154456","Student loan","Trouble with how payments are handled","Discover"
"154481","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"154550","Student loan","Trouble with how payments are handled","Discover"
"154569","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"154608","Student loan","Having problems with customer service","Navient Solutions, Inc."
"154631","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"154635","Student loan","Can't decrease my monthly payments","Sallie Mae"
"154730","Student loan","Can't get flexible payment options","ACS Education Services"
"154811","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"154813","Student loan","Having problems with customer service","Navient Solutions, Inc."
"154861","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"154878","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"154894","Student loan","Having problems with customer service","Student Loan Finance Corporation"
"154954","Student loan","Having problems with customer service","Navient Solutions, Inc."
"155031","Student loan","Having problems with customer service","Discover"
"155059","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"155083","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"155122","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"155137","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"155141","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"155169","Student loan","Need information about my balance/terms","Discover"
"155177","Student loan","Can't qualify for a loan","Coast Professional, Inc."
"155273","Student loan","Trouble with how payments are handled","Allied Interstate LLC"
"155280","Student loan","Having problems with customer service","Navient Solutions, Inc."
"155316","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"155349","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"155362","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"155398","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"155436","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"155479","Student loan","Can't get flexible payment options","AES/PHEAA"
"155486","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"155580","Student loan","Can't get flexible payment options","ACS Education Services"
"155587","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"155604","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"155647","Student loan","Can't get flexible payment options","MOHELA"
"155652","Student loan","Trouble with how payments are handled","KeyBank NA"
"155680","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"155694","Student loan","Don't agree with fees charged","JPMorgan Chase & Co."
"155726","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"155734","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"155854","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"155912","Student loan","Qualify for a better loan than offered","Navient Solutions, Inc."
"155923","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"155926","Student loan","Received bad information about my loan","Discover"
"156005","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"156106","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"156124","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"156157","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"156211","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"156240","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"156241","Student loan","Can't get flexible payment options","AES/PHEAA"
"156242","Student loan","Having problems with customer service","Alaska Commission on Post Secondary Education"
"156248","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"156250","Student loan","Keep getting calls about my loan","Citibank"
"156280","Student loan","Keep getting calls about my loan","AES/PHEAA"
"156317","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"156321","Student loan","Having problems with customer service","Navient Solutions, Inc."
"156419","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"156477","Student loan","Can't decrease my monthly payments","Discover"
"156543","Student loan","Can't get flexible payment options","AES/PHEAA"
"156587","Student loan","Can't decrease my monthly payments","Sallie Mae"
"156612","Student loan","Received bad information about my loan","KeyBank NA"
"156640","Student loan","Received bad information about my loan","Student Assistance Foundation"
"156657","Student loan","Can't decrease my monthly payments","Sallie Mae"
"156690","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"156696","Student loan","Having problems with customer service","Nelnet"
"156713","Student loan","Can't decrease my monthly payments","Alorica Inc."
"156731","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"156737","Student loan","Can't get flexible payment options","Genesis Lending"
"156769","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"156771","Student loan","Can't temporarily postpone payments","Citibank"
"156809","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"156850","Student loan","Trouble with how payments are handled","AES/PHEAA"
"156865","Student loan","Don't agree with fees charged","Great Lakes"
"156887","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"156900","Student loan","Trouble with how payments are handled","ACS Education Services"
"156910","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"156917","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"156921","Student loan","Received bad information about my loan","Discover"
"156960","Student loan","Can't decrease my monthly payments","Sallie Mae"
"157036","Student loan","Received bad information about my loan","ECMC Group, Inc."
"157077","Student loan","Can't temporarily postpone payments","Wells Fargo & Company"
"157085","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"157114","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"157148","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"157169","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"157194","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"157217","Student loan","Trouble with how payments are handled","Citibank"
"157224","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"157326","Student loan","Received bad information about my loan","Discover"
"157347","Student loan","Trouble with how payments are handled","KeyBank NA"
"157379","Student loan","Can't get flexible payment options","Wells Fargo & Company"
"157385","Student loan","Having problems with customer service","ECMC Group, Inc."
"157473","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"157501","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"157514","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"157562","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"157626","Student loan","Trouble with how payments are handled","Sallie Mae"
"157650","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"157712","Student loan","Can't decrease my monthly payments","Sallie Mae"
"157755","Student loan","Need information about my balance/terms","Sallie Mae"
"157806","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"157834","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"157849","Student loan","Trouble with how payments are handled","Sallie Mae"
"157926","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"157945","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"157956","Student loan","Can't decrease my monthly payments","Citibank"
"157995","Student loan","Received bad information about my loan","Wells Fargo & Company"
"158005","Student loan","Trouble with how payments are handled","ACS Education Services"
"158016","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"158053","Student loan","Can't get flexible payment options","Bank of America"
"158114","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"158116","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"158126","Student loan","Received bad information about my loan","Wells Fargo & Company"
"158188","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"158222","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"158230","Student loan","Trouble with how payments are handled","First Associates Loan Servicing LLC"
"158233","Student loan","Having problems with customer service","URS Holding, LLC"
"158241","Student loan","Having problems with customer service","Allied Interstate LLC"
"158268","Student loan","Trouble with how payments are handled","Sallie Mae"
"158325","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"158374","Student loan","Trouble with how payments are handled","Iowa Student Loan"
"158376","Student loan","Trouble with how payments are handled","AES/PHEAA"
"158441","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"158444","Student loan","Keep getting calls about my loan","JPMorgan Chase & Co."
"158542","Student loan","Having problems with customer service","Navient Solutions, Inc."
"158631","Student loan","Trouble with how payments are handled","ACS Education Services"
"158643","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"158675","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"158684","Student loan","Can't get flexible payment options","Discover"
"158705","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"158754","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"158756","Student loan","Trouble with how payments are handled","Discover"
"158846","Student loan","Having problems with customer service","Navient Solutions, Inc."
"158853","Student loan","Received bad information about my loan","AES/PHEAA"
"159022","Student loan","Repaying your loan","Navient Solutions, Inc."
"159046","Student loan","Can't get flexible payment options","Iowa Student Loan"
"159049","Student loan","Can't decrease my monthly payments","U.S. Bancorp"
"159057","Student loan","Trouble with how payments are handled","KeyBank NA"
"159065","Student loan","Can't get flexible payment options","National Enterprise Systems, Inc."
"159076","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"159133","Student loan","Can't temporarily postpone payments","Weltman, Weinberg & Reis"
"159170","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"159185","Student loan","Trouble with how payments are handled","AES/PHEAA"
"159217","Student loan","Having problems with customer service","Student Loan Finance Corporation"
"159233","Student loan","Can't get flexible payment options","Discover"
"159251","Student loan","Can't decrease my monthly payments","Discover"
"159274","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"159279","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"159292","Student loan","Can't get flexible payment options","KeyBank NA"
"159312","Student loan","Can't temporarily postpone payments","U.S. Bancorp"
"159327","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"159350","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"159354","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"159523","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"159550","Student loan","Trouble with how payments are handled","AES/PHEAA"
"159639","Student loan","Received bad information about my loan","Sallie Mae"
"159672","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"159746","Student loan","Trouble with how payments are handled","Sallie Mae"
"159786","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"159839","Student loan","Can't decrease my monthly payments","KeyBank NA"
"159860","Student loan","Having problems with customer service","Navient Solutions, Inc."
"159882","Student loan","Can't get flexible payment options","AES/PHEAA"
"159892","Student loan","Received bad information about my loan","Sallie Mae"
"159900","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"159913","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"159995","Student loan","Can't get flexible payment options","Discover"
"160008","Student loan","Trouble with how payments are handled","JPMorgan Chase & Co."
"160088","Student loan","Trouble with how payments are handled","AES/PHEAA"
"160096","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"160123","Student loan","Having problems with customer service","Discover"
"160148","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"160158","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"160178","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"160277","Student loan","Keep getting calls about my loan","Radius Global Solutions LLC"
"160315","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"160346","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"160358","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"160359","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"160369","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"160379","Student loan","Trouble with how payments are handled","Discover"
"160440","Student loan","Don't agree with fees charged","Discover"
"160457","Student loan","Qualify for a better loan than offered","Navient Solutions, Inc."
"160468","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"160492","Student loan","Trouble with how payments are handled","Sallie Mae"
"160495","Student loan","Can't get flexible payment options","PNC Bank N.A."
"160601","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"160629","Student loan","Can't temporarily postpone payments","National Enterprise Systems, Inc."
"160689","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"160693","Student loan","Trouble with how payments are handled","KeyBank NA"
"160799","Student loan","Can't temporarily postpone payments","Discover"
"160813","Student loan","Need information about my balance/terms","AES/PHEAA"
"160819","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"160823","Student loan","Can't decrease my monthly payments","Citibank"
"160894","Student loan","Can't decrease my monthly payments","Discover"
"160897","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"160995","Student loan","Need information about my balance/terms","Firsel Law Group, Ltd."
"161012","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"161042","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"161076","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"161094","Student loan","Don't agree with fees charged","Expert Global Solutions, Inc."
"161106","Student loan","Need information about my balance/terms","Citibank"
"161158","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"161193","Student loan","Can't get flexible payment options","ACS Education Services"
"161235","Student loan","Having problems with customer service","Navient Solutions, Inc."
"161237","Student loan","Trouble with how payments are handled","ACS Education Services"
"161265","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"161314","Student loan","Can't decrease my monthly payments","U.S. Bancorp"
"161319","Student loan","Can't decrease my monthly payments","PNC Bank N.A."
"161330","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"161362","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"161369","Student loan","Can't get flexible payment options","Granite State Management & Resources"
"161403","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"161435","Student loan","Can't get flexible payment options","Wells Fargo & Company"
"161460","Student loan","Can't temporarily postpone payments","KeyBank NA"
"161519","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"161521","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"161543","Student loan","Need information about my balance/terms","Expert Global Solutions, Inc."
"161548","Student loan","Can't get flexible payment options","KeyBank NA"
"161560","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"161565","Student loan","Trouble with how payments are handled","ACS Education Services"
"161586","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"161646","Student loan","Trouble with how payments are handled","Heartland Payment Systems"
"161764","Student loan","Don't agree with fees charged","Higher Education Student Assistance Authority (HESAA)"
"161798","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"161799","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"161817","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"161877","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"161879","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"161911","Student loan","Can't get flexible payment options","AES/PHEAA"
"161912","Student loan","Can't get flexible payment options","ACS Education Services"
"162026","Student loan","Trouble with how payments are handled","First Associates Loan Servicing LLC"
"162088","Student loan","Trouble with how payments are handled","Account Control Technology, Inc."
"162191","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"162210","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"162217","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"162218","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"162307","Student loan","Having problems with customer service","KeyBank NA"
"162329","Student loan","Can't decrease my monthly payments","MEFA"
"162365","Student loan","Can't decrease my monthly payments","SunTrust Banks, Inc."
"162397","Student loan","Keep getting calls about my loan","Sallie Mae"
"162420","Student loan","Can't get flexible payment options","AES/PHEAA"
"162424","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"162550","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"162594","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"162598","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"162600","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"162771","Student loan","Trouble with how payments are handled","ACS Education Services"
"162782","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"162785","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"162806","Student loan","Can't decrease my monthly payments","Ceannate"
"162832","Student loan","Trouble with how payments are handled","Higher Education Student Assistance Authority (HESAA)"
"162907","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"162932","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"162973","Student loan","Keep getting calls about my loan","Citibank"
"163037","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"163079","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"163153","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"163202","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"163213","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"163381","Student loan","Received bad information about my loan","JPMorgan Chase & Co."
"163398","Student loan","Can't get flexible payment options","ECMC Group, Inc."
"163408","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"163409","Student loan","Trouble with how payments are handled","Citibank"
"163501","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"163558","Student loan","Can't get flexible payment options","AES/PHEAA"
"163598","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"163605","Student loan","Can't get flexible payment options","First Associates Loan Servicing LLC"
"163695","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"163703","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"163716","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"163737","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"163778","Student loan","Trouble with how payments are handled","Citibank"
"163837","Student loan","Can't temporarily postpone payments","Sallie Mae"
"163851","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"163862","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"163911","Student loan","Having problems with customer service","Navient Solutions, Inc."
"163933","Student loan","Received bad information about my loan","Navient Solutions, Inc."
"163967","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"164027","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"164033","Student loan","Can't decrease my monthly payments","Nelnet"
"164060","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"164081","Student loan","Received bad information about my loan","JPMorgan Chase & Co."
"164148","Student loan","Keep getting calls about my loan","Discover"
"164153","Student loan","Can't temporarily postpone payments","KeyBank NA"
"164174","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"164284","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"164315","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"164376","Student loan","Can't get flexible payment options","Georgia Student Finance Authority"
"164382","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"164406","Student loan","Don't agree with fees charged","Discover"
"164544","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"164671","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"164686","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"164706","Student loan","Can't temporarily postpone payments","KeyBank NA"
"164744","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"164752","Student loan","Can't decrease my monthly payments","Discover"
"164796","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"164889","Student loan","Having problems with customer service","Navient Solutions, Inc."
"164954","Student loan","Need information about my balance/terms","Navient Solutions, Inc."
"164974","Student loan","Can't get flexible payment options","PNC Bank N.A."
"164990","Student loan","Trouble with how payments are handled","ACS Education Services"
"165043","Student loan","Received bad information about my loan","Expert Global Solutions, Inc."
"165073","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"165132","Student loan","Can't get flexible payment options","Expert Global Solutions, Inc."
"165160","Student loan","Don't agree with fees charged","Sallie Mae"
"165257","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"165300","Student loan","Trouble with how payments are handled","Sallie Mae"
"165310","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"165365","Student loan","Can't temporarily postpone payments","AES/PHEAA"
"165372","Student loan","Can't get flexible payment options","Nelnet"
"165400","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"165445","Student loan","Can't get flexible payment options","JPMorgan Chase & Co."
"165500","Student loan","Can't get flexible payment options","AES/PHEAA"
"165516","Student loan","Trouble with how payments are handled","Wells Fargo & Company"
"165617","Student loan","Don't agree with fees charged","AES/PHEAA"
"165724","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"165726","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"165778","Student loan","Keep getting calls about my loan","ACS Education Services"
"165857","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"165909","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"165960","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"165966","Student loan","Trouble with how payments are handled","Expert Global Solutions, Inc."
"165970","Student loan","Having problems with customer service","Navient Solutions, Inc."
"166045","Student loan","Keep getting calls about my loan","Sallie Mae"
"166100","Student loan","Trouble with how payments are handled","KeyBank NA"
"166145","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"166163","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"166175","Student loan","Keep getting calls about my loan","Navient Solutions, Inc."
"166208","Student loan","Can't get flexible payment options","Citibank"
"166213","Student loan","Can't decrease my monthly payments","AES/PHEAA"
"166309","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"166316","Student loan","Trouble with how payments are handled","Citibank"
"166327","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"166357","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"166401","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"166450","Student loan","Can't get flexible payment options","Navient Solutions, Inc."
"166457","Student loan","Having problems with customer service","Wells Fargo & Company"
"166476","Student loan","Trouble with how payments are handled","Discover"
"166572","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"166585","Student loan","Can't get flexible payment options","AES/PHEAA"
"166617","Student loan","Can't temporarily postpone payments","JPMorgan Chase & Co."
"166686","Student loan","Trouble with how payments are handled","Navient Solutions, Inc."
"166715","Student loan","Trouble with how payments are handled","Sallie Mae"
"166739","Student loan","Don't agree with fees charged","American Accounts & Advisers Inc."
"166747","Student loan","Don't agree with fees charged","Navient Solutions, Inc."
"166772","Student loan","Need information about my balance/terms","Deutsche Bank"
"166777","Student loan","Need information about my balance/terms","MOHELA"
"166796","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"166828","Student loan","Trouble with how payments are handled","Sallie Mae"
"166834","Student loan","Can't temporarily postpone payments","Navient Solutions, Inc."
"166868","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"166911","Student loan","Can't decrease my monthly payments","Wells Fargo & Company"
"166932","Student loan","Having problems with customer service","Navient Solutions, Inc."
"166999","Student loan","Can't decrease my monthly payments","Navient Solutions, Inc."
"167002","Student loan","Need information about my balance/terms","Weltman, Weinberg & Reis"
"167022","Student loan","Having problems with customer service","ACS Education Services"
